client_canonical,name_raw,geography,strategic_named,client_exec,ceo,cfo,cro,cco,coo,cio_cto,cuo,gwp,growth_pct,combined_ratio,outsource,exl_competitors,year_flag,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
Swiss Re,Swiss Re,US,Named,Mohit,J.Eric Smith,Brian Rosenblum,Stefanie Stratos,Thomas Hyatte,Rich Agar,Prashanthi Roy /Pravina Ladva,,"$42,228M",0.029,1.0708,Yes,"CSC, Genpact, TCS","2021 (They have multiple BPO, automation and analytics partner)",F1,Sheet3,2,2020-08-03,2020-08-03,2026-05-27
Nationwide,Nationwide Insurance,US,Named,Mohit,Kirt Walker,Mark Thresher,Klaus Diem,Sandra Rich,Mark Berven,James Fowler,,$49.3B,0.025,0.94,Yes,"Cognizant, Genpact","Mid 2021, 2022",F1,Sheet3,3,2020-08-03,2020-08-03,2026-05-27
American Modern,American Modern,US,Named,Sean,Andreas Kleiner,Rene Gobanya,Trey Griffith,Eric Hunzinger,Paul Schneider,Bill Gottsacker,Kam Jha,$2.5B,0.03,N/A,Yes,TCS,Just signed with us,F1,Sheet3,4,2020-08-03,2020-08-03,2026-05-27
Everest,Everest Insurance,US,Named,Sean,Mike Karmilowicz,Dana Lodge,"Bill Thygeson, CAO",Patricia Mcmahon,Mike Mulray,Owen Williams,Open,$4B,0.04,88.7,Yes,None,2023,F1,Sheet3,5,2020-08-03,2020-08-03,2026-05-27
Axis,Axis,US,Named,Sean,Albert Benchimol,Pete Vogt,Ben Rubin,Mike Baumel,Rob Hartman,Keith Schlosser,Eric Gesick,6.9,0.01,107.3,Yes,"Genpact, Infy",2022,F1,Sheet3,6,2020-08-03,2020-08-03,2026-05-27
IAG,IAG,Australia,Strategic,Vilas,Peter Harmer,Nick Hawkins,David Watts,,,Neil Morgan,,"12,135 ($m)",0.011,1.23,Yes,WNS,2021-10-01 00:00:00,F1,Sheet3,7,2020-08-03,2020-08-03,2026-05-27
Suncorp,Suncorp,Australia,Strategic,Vilas,Steve Johnston ,Jeremy Robson,Fiona Thompson,,Paul Smeaton (Insurance),Adam Bennett ,,8119 ($m),0.015,0.96,Yes,"WNS, Genpact, Cognizant",2020-12-26 00:00:00,F1,Sheet3,8,2020-08-03,2020-08-03,2026-05-27
Allstate,Allstate,US,Strategic,Amit Gaba,Tom Wilson,Mario Rizzo,Mark Prindiville,Eric Brandt,Glenn Shapiro,Suren Gupta,,$34.8B,0.057,85,Yes,"Genpact, Fractal",MSA is perpetual,F1,Sheet3,9,2020-08-03,2020-08-03,2026-05-27
Kemper,Kemper,US,Other,Amit Gaba,Joe Lacher,Jim McKinney,Max Mindak,Kim Leggette,Duane Sanders,Charles Brooks,,$4B,0.3,93,Yes,Accenture,"Key SOW renewal date Jan 1, 2021",F1,Sheet3,10,2020-08-03,2020-08-03,2026-05-27
Travelers Group,Travelers,US,Named,Sean,Alan Schnitzer,Dan Frey,Bruce Jones,Nicolas Seminara,Mojgan Lefebvre,Mojgan Lefebvre,Rick Schug,$29B,0.05,96.5,Yes,"CTS, WNS, Genpact",2021,F1,Sheet3,11,2020-08-03,2020-08-03,2026-05-27
Great American,Great American,US,Named,Sean,"Carl Lindnor, Craig Lindnor",Jeff Consolino,,,Gary Gruber,Chad Stewart,,$13B,0.02,93.7,,,,F1,Sheet3,12,2020-08-03,2020-08-03,2026-05-27
Munich Re,Munich Re,US,Named,Mohit,Dave Brune,Oliver J. Horbelt/Angela Homm,Catherine Smith,JannaLyn Allen,Anita Kuchma,Phil Roeper,,"$60,433M",0.02,1.01,Yes,"Wipro,Capgemini","Sep, 2022 (with Wipro) and 23rd July 2020 with Capgemini",F1,Sheet3,13,2020-08-03,2020-08-03,2026-05-27
State Farm,State Farm,US,Named,Mohit,Bruce Hull,Connie Storey,Cathy Wallace,Terrence Ludwig,Cleo Villaflores,Ashley Pettit,,"$42,137M",0,0.987,No,Wipro,NA,F1,Sheet3,14,2020-08-03,2020-08-03,2026-05-27
MAPFRE,Mapfre,US,Named,Mohit,Alexis Sanchez Geigel,Francois Facon,Dana Whiteley,Christopher Matherly,Scott Hammond,Gregg Nickerson,,"$6,398.6M",0.031,0.976,Yes,WNS,NA,F1,Sheet3,15,2020-08-03,2020-08-03,2026-05-27
