entity_kind,name_raw,occurrences
client,Axis,2
client,Great American,2
client,Munich Re,2
client,Amer Intl Group,1
client,Farmers Ins Group,1
client,Amer Family Ins Group,1
client,Auto-Owners Ins Group,1
client,Fairfax Financial (USA) Group,1
client,Erle Ins Group,1
client,Tokio Marina US PC Group,1
client,Munich-Amer Hldg Corp Cos,1
client,W. R. Berkley Ins Group,1
client,Cincinnati Ins Cos,1
client,Alleghany Corp Group,1
client,Great Amer P&C Ins Group,1
client,Auto Club Enterprises Ins Group,1
client,Allianz US PC Ins Companies,1
client,CSAA Ins Group,1
client,FM Global Group,1
client,Markel Corp Group,1
client,Mercury Gen Group,1
client,QBE North America Ins Group,1
client,Arch Ins Group,1
client,Selective Ins Group,1
client,Old Republic Ins Group,1
client,COUNTRY Financial PC Group,1
client,Natl Gen Companies,1
client,Auto Club Group,1
client,AXA U.S. Group,1
client,Sentry Ins Group,1
client,Amica Mutual Group,1
client,Sompo Hldgs US Group,1
client,PartnerRe US Group,1
client,State Auto Ins Cos,1
client,NJM Ins Group,1
client,State Ins Fund WC Fund,1
client,AXIS US Operations,1
client,EMC lns Cos,1
client,Shelter Ins cos,1
client,SCOR US Group,1
client,Westfield Group,1
client,Federated Mutual Group,1
client,AF Group,1
client,"Acuity, A Mutual Ins Co",1
client,Southern Farm Bureau Cas Group,1
client,Amer Natl Prop & Cas Group,1
client,Farm Bureau P&C Group,1
client,TN Farmers Ins Cos,1
client,Alfa Ins Group,1
client,West Bend Mutual Ins Co,1
client,Grange Ins Pool,1
client,Texas Farm Bureau Group,1
client,IAT Ins Group,1
client,Intact US Ins Group,1
client,State Compensation Ins Fund,1
client,ICW Pool,1
client,Utica Natl Ins Group,1
client,TX Mutual Ins Co,1
client,United Fire & Cas Group,1
client,Encova Mutual Ins Group,1
client,Argo Group,1
client,KY Fann Bureau Group,1
client,Radian Group,1
client,Mortgage Guar Group,1
client,CUMIS Ins Society Group,1
client,NC Farm Bureau Ins Group,1
client,Doctors Co Ins Group,1
client,Donegal Ins Group,1
client,Universal Ins Hldgs Group,1
client,RLI Group,1
client,ProSight Specialty Group,1
client,Church Mutual Ins Group,1
client,Palisades Group,1
client,FCCI Ins Group,1
client,Michigan Farm Bureau PC Companies,1
client,Arbella Ins Group,1
client,Amerisure Cos,1
client,Safety Group,1
client,Penn Natl Ins Cos,1
client,Western Natl Ins Group,1
client,Central Ins Cos,1
client,Frankenmuth Ins Group,1
client,United Ins Group,1
client,Horace Mann Ins Group,1
client,ProAssurance Group,1
client,Secura Ins Cos,1
client,Andover Companies Pool,1
client,Grinnell Mutual Group,1
client,Employers Ins Group,1
client,Citizens Property lns Corporation,1
client,United Farm Bureau of Indiana Group,1
client,Loya Ins Group,1
client,CopperPoint Ins Group,1
client,NYCM Ins Group,1
client,FMH Ins Group,1
client,Pinnacol Assur,1
client,Pekin Ins Group,1
client,Germania Mutual Group,1
client,Essent Guar Group,1
client,Ally Ins Group,1
client,Wawanesa Gen Ins Co,1
client,Plymouth Rock Cos,1
client,RenaissanceRe US Group,1
client,AmeriTrust Group,1
client,SAIF Corp,1
client,HUB International Ltd.,1
client,Lockton Companies,1
client,USI Insurance Services,1
client,Alliant Insurance Services Inc.,1
client,AssuredPartners Inc.,1
client,Acrisure LLC,1
client,BroadStreet Partners Inc.,1
client,Confie,1
client,EPIC,1
client,NFP,1
client,Risk Strategies,1
client,Leavitt Group,1
client,Insurance Office of America Inc.,1
client,IMA Financial Group Inc.,1
client,Higginbotham,1
client,Cross Insurance,1
client,PayneWest Insurance Inc.,1
client,Woodruff Sawyer,1
client,Heffernan Insurance Brokers,1
client,Hylant,1
client,Hilb Group,1
client,AIS Insurance*,1
client,INSURICA Inc.,1
client,Eastern Insurance Group LLC,1
client,Prime Risk Partners Inc.,1
client,Alera Group,1
client,TWFG Insurance Services,1
client,Assurance,1
client,Propel Insurance,1
client,Westwood Insurance Agency,1
client,UniVista Insurance,1
client,Baldwin Risk Partners,1
client,TrueNorth,1
client,Towne Insurance,1
client,Lawley Insurance,1
client,Starkweather & Shepley Insurance Brokerage Inc.,1
client,Professional Insurance Associates,1
client,Graham Company,1
client,Relation Insurance Inc.,1
client,The Horton Group Inc.,1
client,Houchens Insurance Group Inc.,1
client,Shepherd Insurance,1
client,"Bowen, Miclette & Britt Insurance Agency LLC",1
client,Sunstar Insurance Group,1
client,LMC Insurance & Risk Management Inc.,1
client,"Parker, Smith & Feek Inc.",1
client,Scott Insurance (James A. Scott and Son Inc.),1
client,Ansay & Associates,1
client,Gowrie Group,1
client,ABD Insurance and Financial Services,1
client,Huntington Insurance,1
client,The Mahoney Group,1
client,Rose & Kiernan Inc.,1
client,Premier Group Insurance,1
client,Fisher Brown Bottrell Insurance Inc.,1
client,Charles L. Crane Agency,1
client,Robertson Ryan & Associates,1
client,Rich & Cartmill Inc.,1
client,Andreini & Company,1
client,PCF Insurance Services LLC,1
client,"Haylor, Freyer & Coon Inc.",1
client,People’s United Insurance Agency Inc.,1
client,James G Parker Insurance Associates,1
client,Associated Benefits and Risk Consulting,1
client,Frost Insurance,1
client,Bolton & Company,1
client,M&T Insurance Agency Inc.,1
client,Sterling Seacrest Partners Inc.,1
client,HNI,1
client,TIS Insurance Sevices Inc.,1
client,HomeServices Insurance,1
client,Moreton & Company,1
client,Wood Gutmann & Bogart Insurance Brokers,1
client,TRICOR,1
client,Turner Surety & Insurance Brokerage (TSIB),1
client,World Insurance Associates LLC,1
client,The Buckner Company Inc.,1
client,R&R Insurance Services,1
client,Rogers & Gray Insurance,1
client,Insgroup Inc.,1
client,AHT Insurance,1
client,SullivanCurtisMonroe Insurance Services LLC,1
client,Sihle Insurance Group Inc.,1
client,Cobbs Allen,1
client,JGS Insurance,1
client,Tompkins Insurance Agencies Inc.,1
client,Atlas Insurance Brokers LLC,1
client,Crest Insurance Group LLC,1
client,John M Glover Agency,1
client,Christensen Group,1
client,Foa & Son Corporation,1
client,Swingle Collins & Associates,1
client,Atlas Insurance Agency,1
client,The Daniel and Henry Company,1
client,L/P Insurance Services,1
client,Murray Securus,1
client,Associated Insurance Management LLC,1
client,Lipscomb & Pitts Insurance,1
client,MJ Insurance Inc.,1
client,Esure Insurance Holdings,1
client,Farmers,1
client,American Family,1
competitor,TBD,2
